filename,spearman_2011,spearman_2012,spearman_2013,spearman_2014,spearman_2015,spearman_2016,spearman_2017,spearman_2018,spearman_2019,spearman_2020,spearman_2021,spearman_2022,spearman_2023,spearman_2024,spearman_random
A0A192B1T2_9HIV1_Haddox_2018_with_scoresandembeddings_allyears.csv,0.4540521026348557,0.4817132772730544,0.4679078580336498,0.48154238780488173,0.4421059205167014,0.4470035852592245,0.48247547783841693,0.48201875885584305,0.4744199852784419,0.4777789466321564,0.47380418975569116,0.48197497665305933,0.4754006433110047,0.47758098905066915,-0.010725544595255446
A0A1I9GEU1_NEIME_Kennouche_2019_with_scoresandembeddings_allyears.csv,0.052805612305918834,0.052396132989174365,0.06176082618111124,0.029316339136070558,0.040706388603377476,0.06941369916856764,0.07582376591519481,0.06797061637891044,0.06908062706540442,0.04107442971497966,0.02942335947674081,0.03453524219652753,0.06752783694369102,0.06050046646094317,-0.0016256144779935088
A0A247D711_LISMN_Stadelmann_2021_with_scoresandembeddings_allyears.csv,0.2102653737077181,0.1407244569607733,0.17492792554206585,0.1465223712686369,0.14179450922106784,0.13296502101671,0.18975169082243853,0.15992270345600673,0.12395545910036919,0.14078286486386266,0.12588531575745962,0.17865748473869633,0.13026734642248142,0.1558476667568473,0.020329115842304468
A0A2Z5U3Z0_9INFA_Doud_2016_with_scoresandembeddings_allyears.csv,0.4586040027659385,0.4731169881877505,0.4648943857493365,0.47999667131948637,0.46901951019899973,0.48434783622742883,0.4732932600754682,0.48724261775027805,0.49608093078601534,0.47389173053498923,0.5075333511733985,0.48470243564118864,0.5011660478523668,0.4749839859914383,0.006286628786866288
A0A2Z5U3Z0_9INFA_Wu_2014_with_scoresandembeddings_allyears.csv,0.45833105932849416,0.472905443264408,0.4719869473520364,0.46969322644952627,0.4681698551246506,0.46749594945095607,0.47373582279958126,0.46435588248085263,0.4697563828722791,0.44870290709168764,0.4783032174150666,0.4499796789391516,0.4755496365630371,0.46483452244965223,-0.01587260727163921
A4D664_9INFA_Soh_2019_with_scoresandembeddings_allyears.csv,0.17576420152062514,0.22192361863446067,0.16736048686820107,0.222482442550471,0.20340046039314072,0.22835421621220753,0.16854291646558348,0.21690314150966197,0.2552842325404627,0.25430987429453733,0.2533998651289006,0.26773905385728425,0.2535368240692524,0.25521904615639446,-0.0034195895940011154
A4GRB6_PSEAI_Chen_2020_with_scoresandembeddings_allyears.csv,0.5088051142454488,0.5440526793878593,0.5553233464620112,0.5739420097696031,0.548361573186915,0.5559819252773456,0.5287705089426713,0.5611534278900872,0.49884612181293986,0.4723556133108375,0.5342266689253701,0.49355211109676805,0.4985019187750808,0.49267466096374213,0.007400484137784517
A4_HUMAN_Seuma_2022_with_scoresandembeddings_allyears.csv,0.4437643496186863,0.4019723635970622,0.39484512135917765,0.46187344077541337,0.17373373694203012,0.2587369337405022,0.3059350389115776,0.3118945028090953,0.3777502364821922,0.2855847109306749,0.39923046295325215,0.3571638956631995,0.3855340856616423,0.21063382221735635,0.001965838254929803
AACC1_PSEAI_Dandage_2018_with_scoresandembeddings_allyears.csv,0.263683997162106,0.19502354189877036,0.2342815065099547,0.2245954550199393,0.2512895117988357,0.24687844576599638,0.18313562201039663,0.24903002193415483,0.22061749640529119,0.27735197025759306,0.2507699557222905,0.21229530200823907,0.2907056578481081,0.20752926203758196,-0.03189527010413258
ACE2_HUMAN_Chan_2020_with_scoresandembeddings_allyears.csv,0.027284574829946596,0.08272072770003863,0.09932661515284281,0.11681326444721406,0.07189643188954593,0.11171009672805246,0.09792003894596209,0.09798079356067081,0.12179920337306237,0.09040630472378865,0.10275444601518505,0.04046128000799654,0.11366698114485806,0.07841168982848373,-0.0037247200384850766
ADRB2_HUMAN_Jones_2020_with_scoresandembeddings_allyears.csv,0.44599064455067206,0.46804367814789494,0.46443757785601186,0.4814369652272882,0.49766505124017235,0.5039084192284443,0.5034662658174953,0.5236457701413954,0.5268464156001491,0.5081367417848662,0.5387618734999682,0.5085405162662184,0.5260335540449498,0.5116368393976599,0.026254091211883858
AICDA_HUMAN_Gajula_2014_3cycles_with_scoresandembeddings_allyears.csv,0.25672026621997385,0.22618519282307079,0.2469587792208734,0.24909620146511638,0.06316153883779434,0.434761815689414,0.3576731726736712,0.09177626659991302,0.25113494308866485,0.2609273500155829,0.3505194855441242,0.13981070339997498,0.2978950841401585,0.33333392651477384,0.11943447096816893
AMFR_HUMAN_Tsuboyama_2023_4G3O_with_scoresandembeddings_allyears.csv,-0.009034370866913052,-0.3228357179223388,0.05205482279841963,-0.16691426614149693,0.0663624432331497,-0.06151240494081518,-0.0593173658937623,0.02712898175919268,-0.11980426716222421,-0.14766007146293478,-0.32702135713111047,-0.20848628948743506,-0.14633275661236658,-0.14587158711892043,0.007682291160912723
AMIE_PSEAE_Wrenbeck_2017_with_scoresandembeddings_allyears.csv,0.5734744888188809,0.5420593744845223,0.5522190023918969,0.5538894636831715,0.5629011768120019,0.5711002388864107,0.5686041308892594,0.5463626517843255,0.5564212417401481,0.5347546795477546,0.5733200488905308,0.5477025563382387,0.5641503044167877,0.5285321733577578,-0.012260798957467255
ANCSZ_Hobbs_2022_with_scoresandembeddings_allyears.csv,0.5169138101369681,0.49025479136568323,0.5053547983591106,0.5298716334106414,0.5123988256263848,0.4959897263478705,0.518681645774046,0.5419684796926452,0.5241913809098413,0.5267800992762863,0.5122752195106653,0.5280516367527306,0.5102363779393682,0.5253305046790099,-0.003711275304300183
